./pomplogs/Auken.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,0
0,2001,0,0
0,2001,1,563409
0,2001,2,0
0,2001,3,8
0,2001,4,1746
0,2001,5,8594
0,2001,6,31
0,2001,7,10
0,2001,8,53485
0,2001,9,0
0,2001,10,0
0,2001,11,38566
0,2002,0,25633
0,2002,1,124905
0,2002,2,5
0,2002,3,584
0,2002,4,0
0,2002,5,0
0,2002,6,2260
0,2002,7,1049
0,2002,8,10274
0,2002,9,6
0,2002,10,25611
0,2002,11,56645
0,2003,0,82236
0,2003,1,10174
0,2003,2,511
0,2003,3,3
0,2003,4,0
0,2003,5,9821
0,2003,6,4456
0,2003,7,2727
0,2003,8,169
0,2003,9,267
0,2003,10,0
0,2003,11,60876
0,2004,0,44883
0,2004,1,92872
0,2004,2,0
0,2004,3,7
0,2004,4,0
0,2004,5,0
0,2004,6,0
0,2004,7,0
0,2004,8,3759
0,2004,9,0
0,2004,10,19556
0,2004,11,0
0,2005,0,0
0,2005,1,55123
0,2005,2,10606
0,2005,3,11
0,2005,4,499
0,2005,5,8646
0,2005,6,0
0,2005,7,460
0,2005,8,1787
0,2005,9,0
0,2005,10,0
0,2005,11,1
0,2006,0,0
0,2006,1,8437
0,2006,2,0
0,2006,3,0
0,2006,4,0
0,2006,5,48
0,2006,6,9482
0,2006,7,0
0,2006,8,0
0,2006,9,4150
0,2006,10,4899
0,2006,11,220
0,2007,0,43306
0,2007,1,23379
0,2007,2,0
0,2007,3,0
0,2007,4,0
0,2007,5,20790
0,2007,6,23398
0,2007,7,6138
0,2007,8,53
0,2007,9,1266
0,2007,10,383
0,2007,11,98858
0,2008,0,59415
0,2008,1,115
0,2008,2,17257
0,2008,3,180
0,2008,4,270
0,2008,5,470
0,2008,6,11126
0,2008,7,36886
0,2008,8,915
0,2008,9,48218
0,2008,10,49136
0,2008,11,522746
0,2009,0,2917
0,2009,1,9791
0,2009,2,71
0,2009,3,166
0,2009,4,1114
0,2009,5,5
0,2009,6,1597
0,2009,7,0
0,2009,8,53
0,2009,9,1348
0,2009,10,162
0,2009,11,58872
0,2010,0,171
0,2010,1,35980
0,2010,2,26104
0,2010,3,0
0,2010,4,84
0,2010,5,125
0,2010,6,618
0,2010,7,80346
0,2010,8,66674
0,2010,9,3559
0,2010,10,14370
0,2010,11,3748
0,2011,0,240
0,2011,1,31
0,2011,2,408
0,2011,3,492
0,2011,4,20
0,2011,5,277
0,2011,6,756
0,2011,7,12
0,2011,8,18298
0,2011,9,17111
0,2011,10,258
0,2011,11,116
0,2012,0,99763
0,2012,1,25438
0,2012,2,61
0,2012,3,0
0,2012,4,0
0,2012,5,153
0,2012,6,37690
0,2012,7,0
0,2012,8,1305
0,2012,9,20774
0,2012,10,265
0,2012,11,0
1,2000,0,0
1,2000,1,0
1,2000,2,0
1,2000,3,0
1,2000,4,0
1,2000,5,0
1,2000,6,0
1,2000,7,0
1,2000,8,0
1,2000,9,368
1,2000,10,0
1,2000,11,4412131
1,2001,0,0
1,2001,1,203818
1,2001,2,571012
1,2001,3,451403
1,2001,4,282625
1,2001,5,330824
1,2001,6,388496
1,2001,7,458356
1,2001,8,350246
1,2001,9,399767
1,2001,10,508093
1,2001,11,701019
1,2002,0,799265
1,2002,1,408746
1,2002,2,494255
1,2002,3,360651
1,2002,4,318406
1,2002,5,335446
1,2002,6,360874
1,2002,7,360617
1,2002,8,225782
1,2002,9,350112
1,2002,10,376996
1,2002,11,448503
1,2003,0,484115
1,2003,1,463519
1,2003,2,346853
1,2003,3,318458
1,2003,4,423252
1,2003,5,663879
1,2003,6,723712
1,2003,7,613618
1,2003,8,516546
1,2003,9,583994
1,2003,10,598955
1,2003,11,599319
1,2004,0,613038
1,2004,1,493254
1,2004,2,517902
1,2004,3,400969
1,2004,4,411104
1,2004,5,781100
1,2004,6,876421
1,2004,7,933224
1,2004,8,768054
1,2004,9,588879
1,2004,10,356383
1,2004,11,380380
1,2005,0,389465
1,2005,1,346345
1,2005,2,453785
1,2005,3,396220
1,2005,4,358205
1,2005,5,292485
1,2005,6,421479
1,2005,7,395880
1,2005,8,345038
1,2005,9,515556
1,2005,10,578473
1,2005,11,569106
1,2006,0,563524
1,2006,1,459433
1,2006,2,592725
1,2006,3,438189
1,2006,4,264111
1,2006,5,271788
1,2006,6,224728
1,2006,7,412443
1,2006,8,375927
1,2006,9,371581
1,2006,10,433543
1,2006,11,602718
1,2007,0,497055
1,2007,1,520827
1,2007,2,546247
1,2007,3,287850
1,2007,4,275684
1,2007,5,428926
1,2007,6,583599
1,2007,7,465733
1,2007,8,413430
1,2007,9,433094
1,2007,10,499524
1,2007,11,463094
1,2008,0,633903
1,2008,1,712760
1,2008,2,670816
1,2008,3,458116
1,2008,4,229036
1,2008,5,242186
1,2008,6,25758
1,2008,7,0
1,2008,8,0
1,2008,9,0
1,2008,10,0
1,2008,11,0
1,2009,0,21337
1,2009,1,311887
1,2009,2,321702
1,2009,3,203765
1,2009,4,162647
1,2009,5,141851
