./pomplogs/Baarl_NPolder_HT_LT.txt.gz
Pomp,jaar,maand,seconden
0,2009,0,0
0,2009,1,0
0,2009,2,0
0,2009,3,0
0,2009,4,0
0,2009,5,17
0,2009,6,274
0,2009,7,0
0,2009,8,0
0,2009,9,20
0,2009,10,91
0,2009,11,0
0,2010,0,39
0,2010,1,47
0,2010,2,28
0,2010,3,49
0,2010,4,35
0,2010,5,49
0,2010,6,16
0,2010,7,9866
0,2010,8,0
0,2010,9,13
0,2010,10,156
0,2010,11,0
0,2011,0,35694
0,2011,1,817
0,2011,2,13
0,2011,3,42
0,2011,4,7
0,2011,5,25
0,2011,6,20733
0,2011,7,23565
0,2011,8,57153
0,2011,9,37
0,2011,10,50
0,2011,11,0
0,2012,0,290260
0,2012,1,14
0,2012,2,31
0,2012,3,50
0,2012,4,19
0,2012,5,27
0,2012,6,13868
0,2012,7,222546
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
1,2009,0,0
1,2009,1,0
1,2009,2,0
1,2009,3,0
1,2009,4,0
1,2009,5,10
1,2009,6,15332
1,2009,7,0
1,2009,8,44
1,2009,9,623211
1,2009,10,719653
1,2009,11,623412
1,2010,0,7589
1,2010,1,394172
1,2010,2,164087
1,2010,3,92191
1,2010,4,82520
1,2010,5,49276
1,2010,6,41276
1,2010,7,747260
1,2010,8,846884
1,2010,9,43621
1,2010,10,216559
1,2010,11,25166
1,2011,0,369421
1,2011,1,17245
1,2011,2,11
1,2011,3,49
1,2011,4,7
1,2011,5,18
1,2011,6,392063
1,2011,7,521565
1,2011,8,433224
1,2011,9,183260
1,2011,10,126404
1,2011,11,908185
1,2012,0,356088
1,2012,1,23
1,2012,2,175866
1,2012,3,431334
1,2012,4,237657
1,2012,5,163506
1,2012,6,389071
1,2012,7,418227
1,2012,8,0
1,2012,9,0
1,2012,10,0
1,2012,11,0
