./pomplogs/Bed_rondebroekHT-LT-Freq.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,0
0,2001,0,0
0,2001,1,89457
0,2001,2,0
0,2001,3,0
0,2001,4,0
0,2001,5,0
0,2001,6,0
0,2001,7,0
0,2001,8,2038
0,2001,9,0
0,2001,10,0
0,2001,11,0
0,2002,0,0
0,2002,1,246575
0,2002,2,0
0,2002,3,0
0,2002,4,0
0,2002,5,0
0,2002,6,0
0,2002,7,0
0,2002,8,0
0,2002,9,0
0,2002,10,0
0,2002,11,0
0,2005,0,0
0,2005,1,0
0,2005,2,0
0,2005,3,77461
0,2005,4,55112
0,2005,5,0
0,2005,6,0
0,2005,7,0
0,2005,8,0
0,2005,9,0
0,2005,10,0
0,2005,11,0
0,2006,0,0
0,2006,1,0
0,2006,2,0
0,2006,3,0
0,2006,4,0
0,2006,5,87
0,2006,6,5269
0,2006,7,5654
0,2006,8,844
0,2006,9,20003
0,2006,10,6389
0,2006,11,44589
0,2007,0,544714
0,2007,1,299768
0,2007,2,380730
0,2007,3,40054
0,2007,4,499
0,2007,5,11851
0,2007,6,2869
0,2007,7,181
0,2007,8,1250
0,2007,9,1073
0,2007,10,135
0,2007,11,180276
0,2008,0,272910
0,2008,1,7825
0,2008,2,87729
0,2008,3,134
0,2008,4,92
0,2008,5,51
0,2008,6,29135
0,2008,7,133
0,2008,8,115
0,2008,9,27106
0,2008,10,319224
0,2008,11,25744
0,2009,0,54953
0,2009,1,163191
0,2009,2,84120
0,2009,3,19908
0,2009,4,18664
0,2009,5,90
0,2009,6,25
0,2009,7,31
0,2009,8,29
0,2009,9,60
0,2009,10,23267
0,2009,11,260355
0,2010,0,1126
0,2010,1,279238
0,2010,2,102294
0,2010,3,0
0,2010,4,0
0,2010,5,0
0,2010,6,0
0,2010,7,0
0,2010,8,0
0,2010,9,0
0,2010,10,0
0,2010,11,0
1,2000,0,0
1,2000,1,0
1,2000,2,0
1,2000,3,0
1,2000,4,0
1,2000,5,0
1,2000,6,0
1,2000,7,0
1,2000,8,0
1,2000,9,0
1,2000,10,0
1,2000,11,0
1,2001,0,142513
1,2001,1,406712
1,2001,2,52875
1,2001,3,35318
1,2001,4,0
1,2001,5,1943
1,2001,6,0
1,2001,7,740
1,2001,8,700280
1,2001,9,182093
1,2001,10,268656
1,2001,11,939711
1,2002,0,673509
1,2002,1,864801
1,2002,2,261987
1,2002,3,0
1,2002,4,0
1,2002,5,0
1,2002,6,0
1,2002,7,0
1,2002,8,0
1,2002,9,0
1,2002,10,0
1,2002,11,0
1,2005,0,0
1,2005,1,0
1,2005,2,0
1,2005,3,426
1,2005,4,8887
1,2005,5,0
1,2005,6,59018
1,2005,7,0
1,2005,8,21
1,2005,9,54450
1,2005,10,117688
1,2005,11,39007
1,2006,0,0
1,2006,1,0
1,2006,2,0
1,2006,3,0
1,2006,4,0
1,2006,5,14895
1,2006,6,182149
1,2006,7,15
1,2006,8,5773
1,2006,9,73
1,2006,10,586
1,2006,11,107
1,2007,0,25799
1,2007,1,46
1,2007,2,65
1,2007,3,6
1,2007,4,8
1,2007,5,36704
1,2007,6,114370
1,2007,7,6
1,2007,8,9
1,2007,9,16
1,2007,10,3
1,2007,11,31
1,2008,0,34
1,2008,1,4
1,2008,2,25
1,2008,3,6
1,2008,4,3
1,2008,5,0
1,2008,6,3
1,2008,7,2
1,2008,8,7
1,2008,9,90006
1,2008,10,10705
1,2008,11,52774
1,2009,0,13
1,2009,1,25
1,2009,2,18
1,2009,3,1
1,2009,4,17
1,2009,5,3
1,2009,6,3
1,2009,7,6
1,2009,8,0
1,2009,9,4
1,2009,10,13560
1,2009,11,44454
1,2010,0,31086
1,2010,1,92
1,2010,2,13
1,2010,3,0
1,2010,4,0
1,2010,5,0
1,2010,6,0
1,2010,7,0
1,2010,8,0
1,2010,9,0
1,2010,10,0
1,2010,11,0
