./pomplogs/Beukers_zwartsluis.txt.gz
Pomp,jaar,maand,seconden
0,2009,0,0
0,2009,1,0
0,2009,2,0
0,2009,3,0
0,2009,4,0
0,2009,5,11256
0,2009,6,424124
0,2009,7,101457
0,2009,8,11725
0,2009,9,354884
0,2009,10,671490
0,2009,11,764101
0,2010,0,500230
0,2010,1,595659
0,2010,2,615182
0,2010,3,208701
0,2010,4,282580
0,2010,5,53389
0,2010,6,84167
0,2010,7,586247
0,2010,8,532359
0,2010,9,335776
0,2010,10,588135
0,2010,11,387833
0,2011,0,742728
0,2011,1,409001
0,2011,2,229139
0,2011,3,176507
0,2011,4,0
0,2011,5,62394
0,2011,6,149785
0,2011,7,117794
0,2011,8,138744
0,2011,9,0
0,2011,10,0
0,2011,11,94789
0,2012,0,152439
0,2012,1,51490
0,2012,2,0
0,2012,3,0
0,2012,4,0
0,2012,5,0
0,2012,6,0
0,2012,7,0
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
