./pomplogs/BlankenhamHT-LT.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,0
0,2001,0,0
0,2001,1,646907
0,2001,2,0
0,2001,3,0
0,2001,4,0
0,2001,5,0
0,2001,6,0
0,2001,7,3691
0,2001,8,84479
0,2001,9,0
0,2001,10,6863
0,2001,11,24427
0,2002,0,88062
0,2002,1,329432
0,2002,2,0
0,2002,3,0
0,2002,4,0
0,2002,5,197
0,2002,6,0
0,2002,7,0
0,2002,8,0
0,2002,9,0
0,2002,10,12810
0,2002,11,39740
0,2003,0,0
0,2003,1,0
0,2003,2,0
0,2003,3,0
0,2003,4,0
0,2003,5,0
0,2003,6,0
0,2003,7,0
0,2003,8,0
0,2003,9,0
0,2003,10,0
0,2003,11,0
0,2004,0,69296
0,2004,1,226467
0,2004,2,627
0,2004,3,0
0,2004,4,0
0,2004,5,0
0,2004,6,1567
0,2004,7,43681
0,2004,8,0
0,2004,9,10608
0,2004,10,23611
0,2004,11,0
0,2005,0,0
0,2005,1,70463
0,2005,2,97230
0,2005,3,0
0,2005,4,0
0,2005,5,0
0,2005,6,0
0,2005,7,0
0,2005,8,0
0,2005,9,33
0,2005,10,1654
0,2005,11,0
0,2006,0,0
0,2006,1,0
0,2006,2,0
0,2006,3,0
0,2006,4,0
0,2006,5,0
0,2006,6,40
0,2006,7,0
0,2006,8,287
0,2006,9,0
0,2006,10,129
0,2006,11,191
0,2007,0,257909
0,2007,1,0
0,2007,2,14778
0,2007,3,0
0,2007,4,49
0,2007,5,95
0,2007,6,28059
0,2007,7,101
0,2007,8,1490
0,2007,9,129
0,2007,10,57
0,2007,11,121976
0,2008,0,106661
0,2008,1,39
0,2008,2,37826
0,2008,3,110
0,2008,4,65
0,2008,5,64
0,2008,6,3313
0,2008,7,33
0,2008,8,64
0,2008,9,131
0,2008,10,165974
0,2008,11,2350
0,2009,0,43189
0,2009,1,78
0,2009,2,43
0,2009,3,0
0,2009,4,0
0,2009,5,35
0,2009,6,52
0,2009,7,0
0,2009,8,48
0,2009,9,82
0,2009,10,72
0,2009,11,35410
0,2010,0,41
0,2010,1,13359
0,2010,2,29
0,2010,3,39
0,2010,4,29
0,2010,5,22
0,2010,6,43
0,2010,7,27
0,2010,8,0
0,2010,9,26
0,2010,10,136
0,2010,11,46900
0,2011,0,137789
0,2011,1,0
0,2011,2,15
0,2011,3,37
0,2011,4,0
0,2011,5,0
0,2011,6,21
0,2011,7,0
0,2011,8,20970
0,2011,9,0
0,2011,10,29
0,2011,11,27010
0,2012,0,230286
0,2012,1,0
0,2012,2,0
0,2012,3,44
0,2012,4,58
0,2012,5,52
0,2012,6,8424
0,2012,7,55766
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
1,2000,0,0
1,2000,1,0
1,2000,2,0
1,2000,3,0
1,2000,4,0
1,2000,5,0
1,2000,6,0
1,2000,7,0
1,2000,8,0
1,2000,9,0
1,2000,10,0
1,2000,11,0
1,2001,0,200601
1,2001,1,137344
1,2001,2,298851
1,2001,3,165719
1,2001,4,0
1,2001,5,65482
1,2001,6,39363
1,2001,7,266871
1,2001,8,516148
1,2001,9,133165
1,2001,10,494789
1,2001,11,649488
1,2002,0,555526
1,2002,1,327954
1,2002,2,102801
1,2002,3,94344
1,2002,4,0
1,2002,5,89
1,2002,6,0
1,2002,7,0
1,2002,8,133
1,2002,9,32707
1,2002,10,221665
1,2002,11,299162
1,2003,0,457980
1,2003,1,645995
1,2003,2,0
1,2003,3,0
1,2003,4,55008
1,2003,5,88851
1,2003,6,0
1,2003,7,0
1,2003,8,2974
1,2003,9,32962
1,2003,10,76033
1,2003,11,492626
1,2004,0,947773
1,2004,1,868024
1,2004,2,119325
1,2004,3,109087
1,2004,4,52312
1,2004,5,5960
1,2004,6,54357
1,2004,7,442853
1,2004,8,108230
1,2004,9,207710
1,2004,10,645449
1,2004,11,340398
1,2005,0,315756
1,2005,1,401322
1,2005,2,376067
1,2005,3,109550
1,2005,4,56807
1,2005,5,0
1,2005,6,17595
1,2005,7,8790
1,2005,8,91
1,2005,9,9034
1,2005,10,115971
1,2005,11,173904
1,2006,0,94404
1,2006,1,346
1,2006,2,143980
1,2006,3,42663
1,2006,4,19808
1,2006,5,0
1,2006,6,19832
1,2006,7,4542
1,2006,8,939
1,2006,9,53604
1,2006,10,199370
1,2006,11,416275
1,2007,0,824435
1,2007,1,405775
1,2007,2,829595
1,2007,3,30625
1,2007,4,0
1,2007,5,68656
1,2007,6,305355
1,2007,7,6801
1,2007,8,160
1,2007,9,156
1,2007,10,28611
1,2007,11,457604
1,2008,0,500022
1,2008,1,59636
1,2008,2,340097
1,2008,3,17298
1,2008,4,34537
1,2008,5,74
1,2008,6,78874
1,2008,7,82538
1,2008,8,69
1,2008,9,350901
1,2008,10,367284
1,2008,11,220603
1,2009,0,143763
1,2009,1,266058
1,2009,2,64791
1,2009,3,17665
1,2009,4,300966
1,2009,5,73697
1,2009,6,56647
1,2009,7,53408
1,2009,8,34238
