./pomplogs/Broammeul2.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,111029
0,2001,0,0
0,2001,1,278766
0,2001,2,1049043
0,2001,3,810892
0,2001,4,628432
0,2001,5,255330
0,2001,6,617017
0,2001,7,1697686
0,2001,8,1804967
0,2001,9,1288830
0,2001,10,946271
0,2001,11,1440873
0,2002,0,837551
0,2002,1,1537678
0,2002,2,1457758
0,2002,3,654403
0,2002,4,523390
0,2002,5,349468
0,2002,6,354309
0,2002,7,506593
0,2002,8,377328
0,2002,9,709787
0,2002,10,857461
0,2002,11,971036
0,2003,0,1546085
0,2003,1,819442
0,2003,2,575416
0,2003,3,296452
0,2003,4,389875
0,2003,5,214064
0,2003,6,177813
0,2003,7,7978
0,2003,8,35878
0,2003,9,619022
0,2003,10,903085
0,2003,11,1536037
0,2004,0,1550393
0,2004,1,1723967
0,2004,2,877922
0,2004,3,633177
0,2004,4,372165
0,2004,5,448857
0,2004,6,878383
0,2004,7,965688
0,2004,8,647109
0,2004,9,1339707
0,2004,10,1420103
0,2004,11,853919
0,2005,0,1077760
0,2005,1,1156666
0,2005,2,1181472
0,2005,3,998548
0,2005,4,877789
0,2005,5,244732
0,2005,6,579873
0,2005,7,904554
0,2005,8,489809
0,2005,9,887984
0,2005,10,1103827
0,2005,11,921948
0,2006,0,809178
0,2006,1,1151247
0,2006,2,743672
0,2006,3,785183
0,2006,4,256141
0,2006,5,687434
0,2006,6,89976
0,2006,7,1015926
0,2006,8,639722
0,2006,9,766003
0,2006,10,1569013
0,2006,11,1951675
0,2007,0,1676894
0,2007,1,1376331
0,2007,2,1057002
0,2007,3,299194
0,2007,4,270598
0,2007,5,628947
0,2007,6,1146122
0,2007,7,441980
0,2007,8,599223
0,2007,9,745531
0,2007,10,1031787
0,2007,11,1169084
0,2008,0,1187551
0,2008,1,994356
0,2008,2,1096325
0,2008,3,611180
0,2008,4,862222
0,2008,5,197332
0,2008,6,741473
0,2008,7,1022304
0,2008,8,489377
0,2008,9,1331444
0,2008,10,1745222
0,2008,11,1241069
0,2009,0,553459
0,2009,1,1086908
0,2009,2,898599
0,2009,3,970089
0,2009,4,279504
0,2009,5,251696
0,2009,6,622782
0,2009,7,139872
0,2009,8,466782
0,2009,9,1021212
0,2009,10,1606375
0,2009,11,1762355
0,2010,0,434774
0,2010,1,490144
0,2010,2,976773
0,2010,3,541573
0,2010,4,453154
0,2010,5,232920
0,2010,6,329588
0,2010,7,1171279
0,2010,8,1658329
0,2010,9,1638029
0,2010,10,1573594
0,2010,11,306128
0,2011,0,1355358
0,2011,1,526638
0,2011,2,484738
0,2011,3,980
0,2011,4,273478
0,2011,5,438075
0,2011,6,1133421
0,2011,7,1255045
0,2011,8,1439854
0,2011,9,1422207
0,2011,10,747953
0,2011,11,1732212
0,2012,0,1486138
0,2012,1,388663
0,2012,2,557801
0,2012,3,406551
0,2012,4,346170
0,2012,5,564952
0,2012,6,1028717
0,2012,7,885681
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
