./pomplogs/BuitenbrHt_LT.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,0
0,2001,0,0
0,2001,1,117009
0,2001,2,0
0,2001,3,0
0,2001,4,0
0,2001,5,0
0,2001,6,10128
0,2001,7,12408
0,2001,8,54970
0,2001,9,0
0,2001,10,0
0,2001,11,3425
0,2002,0,13004
0,2002,1,186013
0,2002,2,2882
0,2002,3,0
0,2002,4,0
0,2002,5,0
0,2002,6,0
0,2002,7,0
0,2002,8,0
0,2002,9,0
0,2002,10,0
0,2002,11,6125
0,2003,0,52713
0,2003,1,0
0,2003,2,0
0,2003,3,0
0,2003,4,0
0,2003,5,22
0,2003,6,0
0,2003,7,0
0,2003,8,0
0,2003,9,0
0,2003,10,349
0,2003,11,50935
0,2004,0,0
0,2004,1,70001
0,2004,2,0
0,2004,3,0
0,2004,4,0
0,2004,5,0
0,2004,6,0
0,2004,7,80733
0,2004,8,762
0,2004,9,0
0,2004,10,0
0,2004,11,0
0,2005,0,118
0,2005,1,72264
0,2005,2,39945
0,2005,3,0
0,2005,4,0
0,2005,5,0
0,2005,6,0
0,2005,7,0
0,2005,8,0
0,2005,9,910
0,2005,10,0
0,2005,11,0
0,2006,0,0
0,2006,1,0
0,2006,2,116
0,2006,3,0
0,2006,4,0
0,2006,5,0
0,2006,6,0
0,2006,7,184
0,2006,8,0
0,2006,9,13
0,2006,10,148
0,2006,11,0
0,2007,0,207472
0,2007,1,433
0,2007,2,28519
0,2007,3,0
0,2007,4,163
0,2007,5,55257
0,2007,6,145347
0,2007,7,57
0,2007,8,1261
0,2007,9,157
0,2007,10,88
0,2007,11,121019
0,2008,0,95805
0,2008,1,5051
0,2008,2,24467
0,2008,3,147
0,2008,4,64
0,2008,5,46
0,2008,6,28
0,2008,7,31015
0,2008,8,108
0,2008,9,35715
0,2008,10,98610
0,2008,11,154
0,2009,0,2
0,2009,1,99
0,2009,2,93
0,2009,3,2
0,2009,4,46
0,2009,5,0
0,2009,6,62
0,2009,7,0
0,2009,8,84
0,2009,9,76
0,2009,10,128
0,2009,11,130252
0,2010,0,423
0,2010,1,121754
0,2010,2,2152
0,2010,3,57
0,2010,4,0
0,2010,5,0
0,2010,6,0
0,2010,7,0
0,2010,8,0
0,2010,9,0
0,2010,10,0
0,2010,11,0
1,2000,0,0
1,2000,1,0
1,2000,2,0
1,2000,3,0
1,2000,4,1755
1,2000,5,0
1,2000,6,0
1,2000,7,0
1,2000,8,0
1,2000,9,3941
1,2000,10,0
1,2000,11,0
1,2001,0,3911
1,2001,1,292636
1,2001,2,242711
1,2001,3,191480
1,2001,4,72951
1,2001,5,38151
1,2001,6,99009
1,2001,7,318128
1,2001,8,777161
1,2001,9,284723
1,2001,10,458250
1,2001,11,604509
1,2002,0,592852
1,2002,1,732233
1,2002,2,162783
1,2002,3,266393
1,2002,4,246634
1,2002,5,217399
1,2002,6,115201
1,2002,7,122521
1,2002,8,141907
1,2002,9,175348
1,2002,10,280286
1,2002,11,419392
1,2003,0,572502
1,2003,1,153830
1,2003,2,71610
1,2003,3,66183
1,2003,4,138648
1,2003,5,94346
1,2003,6,132074
1,2003,7,69774
1,2003,8,106025
1,2003,9,146021
1,2003,10,105825
1,2003,11,456114
1,2004,0,610517
1,2004,1,557638
1,2004,2,92331
1,2004,3,108660
1,2004,4,18959
1,2004,5,68727
1,2004,6,196874
1,2004,7,657836
1,2004,8,171004
1,2004,9,150648
1,2004,10,386730
1,2004,11,228931
1,2005,0,282588
1,2005,1,309530
1,2005,2,321617
1,2005,3,126493
1,2005,4,193298
1,2005,5,192021
1,2005,6,188607
1,2005,7,274099
1,2005,8,212900
1,2005,9,217149
1,2005,10,254799
1,2005,11,187513
1,2006,0,138246
1,2006,1,175277
1,2006,2,200743
1,2006,3,227893
1,2006,4,232159
1,2006,5,233238
1,2006,6,672461
1,2006,7,474822
1,2006,8,162441
1,2006,9,218780
1,2006,10,825934
1,2006,11,212723
1,2007,0,451912
1,2007,1,415500
1,2007,2,564315
1,2007,3,102789
1,2007,4,175836
1,2007,5,481397
1,2007,6,497912
1,2007,7,251638
1,2007,8,357229
1,2007,9,276249
1,2007,10,257578
1,2007,11,375489
1,2008,0,491321
1,2008,1,161218
1,2008,2,362038
1,2008,3,137522
1,2008,4,108419
1,2008,5,127557
1,2008,6,809562
1,2008,7,396887
1,2008,8,156330
1,2008,9,957525
1,2008,10,435953
1,2008,11,235579
1,2009,0,285295
1,2009,1,735673
1,2009,2,252948
1,2009,3,90685
1,2009,4,264866
1,2009,5,181761
1,2009,6,147418
1,2009,7,118622
1,2009,8,146364
1,2009,9,298901
1,2009,10,399909
1,2009,11,351179
1,2010,0,268533
1,2010,1,502493
1,2010,2,364836
1,2010,3,351689
1,2010,4,339149
1,2010,5,0
1,2010,6,0
1,2010,7,0
1,2010,8,0
1,2010,9,0
1,2010,10,0
1,2010,11,0
