./pomplogs/DeHeven.txt.gz
Pomp,jaar,maand,seconden
0,2002,0,0
0,2002,1,0
0,2002,2,0
0,2002,3,0
0,2002,4,0
0,2002,5,0
0,2002,6,825
0,2002,7,0
0,2002,8,39355
0,2002,9,378972
0,2002,10,715742
0,2002,11,536477
0,2003,0,1313460
0,2003,1,501929
0,2003,2,255907
0,2003,3,120453
0,2003,4,381999
0,2003,5,195470
0,2003,6,13051
0,2003,7,39142
0,2003,8,40
0,2003,9,117547
0,2003,10,460115
0,2003,11,1050948
0,2004,0,1146785
0,2004,1,1839667
0,2004,2,402806
0,2004,3,380661
0,2004,4,804053
0,2004,5,126375
0,2004,6,744460
0,2004,7,707649
0,2004,8,751965
0,2004,9,866594
0,2004,10,406776
0,2004,11,324049
0,2005,0,478175
0,2005,1,937093
0,2005,2,1084453
0,2005,3,344856
0,2005,4,146297
0,2005,5,578
0,2005,6,51182
0,2005,7,366128
0,2005,8,156177
0,2005,9,448806
0,2005,10,536055
0,2005,11,597415
0,2006,0,236016
0,2006,1,207564
0,2006,2,838054
0,2006,3,297154
0,2006,4,13058
0,2006,5,111
0,2006,6,982
0,2006,7,438949
0,2006,8,113430
0,2006,9,341175
0,2006,10,785632
0,2006,11,1141011
0,2007,0,1643170
0,2007,1,617674
0,2007,2,1220255
0,2007,3,11806
0,2007,4,104
0,2007,5,1018778
0,2007,6,590470
0,2007,7,146973
0,2007,8,64358
0,2007,9,59648
0,2007,10,403269
0,2007,11,704157
0,2008,0,703723
0,2008,1,276971
0,2008,2,481677
0,2008,3,70092
0,2008,4,5808
0,2008,5,10861
0,2008,6,78535
0,2008,7,53952
0,2008,8,24492
0,2008,9,617462
0,2008,10,642145
0,2008,11,251410
0,2009,0,370561
0,2009,1,349938
0,2009,2,177855
0,2009,3,13617
0,2009,4,43646
0,2009,5,28
0,2009,6,108983
0,2009,7,4
0,2009,8,324
0,2009,9,70357
0,2009,10,549290
0,2009,11,756408
0,2010,0,195575
0,2010,1,563265
0,2010,2,344826
0,2010,3,56049
0,2010,4,52962
0,2010,5,35
0,2010,6,403
0,2010,7,518242
0,2010,8,518457
0,2010,9,236693
0,2010,10,410157
0,2010,11,216863
0,2011,0,685160
0,2011,1,201969
0,2011,2,64833
0,2011,3,12
0,2011,4,0
0,2011,5,18957
0,2011,6,487006
0,2011,7,441464
0,2011,8,423686
0,2011,9,413086
0,2011,10,86450
0,2011,11,826350
0,2012,0,864389
0,2012,1,233536
0,2012,2,148081
0,2012,3,161273
0,2012,4,171423
0,2012,5,188331
0,2012,6,419601
0,2012,7,532638
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
