./pomplogs/Debiet_De_Wulpen.txt.gz
Pomp,jaar,maand,hoeveelheid
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,4193721
0,2001,0,4680348
0,2001,1,4799851
0,2001,2,3661973
0,2001,3,3142602
0,2001,4,1602836
0,2001,5,756846
0,2001,6,1003717
0,2001,7,1558956
0,2001,8,4501412
0,2001,9,3608594
0,2001,10,4918364
0,2001,11,7753197
0,2002,0,5900920
0,2002,1,10340864
0,2002,2,5275032
0,2002,3,3489229
0,2002,4,4334825
0,2002,5,1959229
0,2002,6,1533138
0,2002,7,1455856
0,2002,8,1256139
0,2002,9,1654447
0,2002,10,2933590
0,2002,11,3140761
0,2003,0,4526724
0,2003,1,3039471
0,2003,2,2427641
0,2003,3,1758071
0,2003,4,1711892
0,2003,5,816674
0,2003,6,637149
0,2003,7,0
0,2003,8,44462
0,2003,9,517777
0,2003,10,1034683
0,2003,11,3095668
0,2004,0,5441356
0,2004,1,6479958
0,2004,2,2336431
0,2004,3,2080534
0,2004,4,2380169
0,2004,5,2635638
0,2004,6,3429617
0,2004,7,5997758
0,2004,8,21074346
0,2004,9,14392516
0,2004,10,4071325
0,2004,11,3039616
0,2005,0,4265087
0,2005,1,3434892
0,2005,2,4430994
0,2005,3,2631251
0,2005,4,2583344
0,2005,5,1220679
0,2005,6,1879246
0,2005,7,2117327
0,2005,8,934956
0,2005,9,1358741
0,2005,10,1999724
0,2005,11,2526749
0,2006,0,2623199
0,2006,1,2248603
0,2006,2,2873052
0,2006,3,2548572
0,2006,4,1288730
0,2006,5,750621
0,2006,6,164086
0,2006,7,652225
0,2006,8,638231
0,2006,9,774506
0,2006,10,1880283
0,2006,11,2792252
0,2007,0,6378582
0,2007,1,4918053
0,2007,2,6088805
0,2007,3,1819776
0,2007,4,1181761
0,2007,5,1116207
0,2007,6,3417142
0,2007,7,1346367
0,2007,8,1101064
0,2007,9,1307091
0,2007,10,1848257
0,2007,11,3787614
0,2008,0,4651070
0,2008,1,2952704
0,2008,2,4308279
0,2008,3,2075511
0,2008,4,540336
0,2008,5,212237
0,2008,6,1019468
0,2008,7,1789248
0,2008,8,1691341
0,2008,9,3856774
0,2008,10,4774889
0,2008,11,3521825
0,2009,0,3183014
0,2009,1,3535663
0,2009,2,4409018
0,2009,3,1652435
0,2009,4,1142017
0,2009,5,760022
0,2009,6,829394
0,2009,7,308352
0,2009,8,291004
0,2009,9,7571078
0,2009,10,13732995
0,2009,11,4023292
0,2010,0,2735710
0,2010,1,3822217
0,2010,2,3530637
0,2010,3,1490029
0,2010,4,1446261
0,2010,5,496236
0,2010,6,409688
0,2010,7,1265351
0,2010,8,3171269
0,2010,9,4338019
0,2010,10,5487948
0,2010,11,4497004
0,2011,0,6209769
0,2011,1,4013622
0,2011,2,3047250
0,2011,3,1910167
0,2011,4,1059546
0,2011,5,795264
0,2011,6,1830484
0,2011,7,2786741
0,2011,8,3849109
0,2011,9,4164398
0,2011,10,5609013
0,2011,11,6000398
0,2012,0,7483636
0,2012,1,3329301
0,2012,2,2942573
0,2012,3,2743912
0,2012,4,2332847
0,2012,5,2291088
0,2012,6,3564654
0,2012,7,2858958
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
