./pomplogs/Duinigermeerweg.txt.gz
Pomp,jaar,maand,seconden
0,2010,0,0
0,2010,1,546011
0,2010,2,739446
0,2010,3,389872
0,2010,4,253260
0,2010,5,27
0,2010,6,21
0,2010,7,154316
0,2010,8,1495903
0,2010,9,496362
0,2010,10,831105
0,2010,11,552451
0,2011,0,1142050
0,2011,1,568603
0,2011,2,398168
0,2011,3,38120
0,2011,4,31505
0,2011,5,74793
0,2011,6,585976
0,2011,7,552321
0,2011,8,0
0,2011,9,21378
0,2011,10,416599
0,2011,11,1326756
0,2012,0,1257496
0,2012,1,506369
0,2012,2,426711
0,2012,3,275467
0,2012,4,190917
0,2012,5,244316
0,2012,6,596299
0,2012,7,970553
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
