./pomplogs/duinweg.txt.gz
Pomp,jaar,maand,seconden
0,2006,0,0
0,2006,1,0
0,2006,2,0
0,2006,3,0
0,2006,4,0
0,2006,5,0
0,2006,6,0
0,2006,7,0
0,2006,8,0
0,2006,9,0
0,2006,10,3544
0,2006,11,76351
0,2007,0,828486
0,2007,1,554239
0,2007,2,344761
0,2007,3,190778
0,2007,4,751858
0,2007,5,763619
0,2007,6,456564
0,2007,7,440505
0,2007,8,366737
0,2007,9,740495
0,2007,10,276871
0,2007,11,276734
0,2008,0,292478
0,2008,1,115976
0,2008,2,446949
0,2008,3,522579
0,2008,4,387831
0,2008,5,126135
0,2008,6,404896
0,2008,7,615633
0,2008,8,371625
0,2008,9,619980
0,2008,10,473055
0,2008,11,104006
0,2009,0,180187
0,2009,1,246032
0,2009,2,114868
0,2009,3,169687
0,2009,4,719051
0,2009,5,228317
0,2009,6,725870
0,2009,7,578132
0,2009,8,26535
0,2009,9,139965
0,2009,10,117840
0,2009,11,466800
0,2010,0,70102
0,2010,1,465585
0,2010,2,238975
0,2010,3,76330
0,2010,4,242587
0,2010,5,386949
0,2010,6,189525
0,2010,7,734619
0,2010,8,532393
0,2010,9,106668
0,2010,10,273639
0,2010,11,159623
0,2011,0,486696
0,2011,1,53019
0,2011,2,69745
0,2011,3,226623
0,2011,4,305369
0,2011,5,650557
0,2011,6,450172
0,2011,7,646741
0,2011,8,446563
0,2011,9,3447480
0,2011,10,2765
0,2011,11,415590
0,2012,0,559030
0,2012,1,67996
0,2012,2,24930
0,2012,3,77736
0,2012,4,201829
0,2012,5,744123
0,2012,6,653022
0,2012,7,511129
0,2012,8,112822
0,2012,9,196718
0,2012,10,97908
0,2012,11,171549
