./pomplogs/Eesveen3_1.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,0
0,2000,2,14811715
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,9724
0,2000,9,0
0,2000,10,0
0,2000,11,0
0,2001,0,0
0,2001,1,0
0,2001,2,1030620
0,2001,3,924942
0,2001,4,784711
0,2001,5,571557
0,2001,6,548134
0,2001,7,751242
0,2001,8,1179607
0,2001,9,942824
0,2001,10,1173894
0,2001,11,1416219
0,2002,0,1297161
0,2002,1,1298082
0,2002,2,1350649
0,2002,3,811389
0,2002,4,778743
0,2002,5,566718
0,2002,6,536888
0,2002,7,547063
0,2002,8,441639
0,2002,9,740229
0,2002,10,998888
0,2002,11,984403
0,2003,0,1260713
0,2003,1,888535
0,2003,2,778240
0,2003,3,616847
0,2003,4,683858
0,2003,5,440403
0,2003,6,415075
0,2003,7,174999
0,2003,8,349973
0,2003,9,633388
0,2003,10,725876
0,2003,11,1139283
0,2004,0,1328513
0,2004,1,1359144
0,2004,2,841097
0,2004,3,101386
0,2004,4,340723
0,2004,5,517892
0,2004,6,703768
0,2004,7,815228
0,2004,8,478064
0,2004,9,667340
0,2004,10,883217
0,2004,11,1385392
0,2005,0,1734016
0,2005,1,1634527
0,2005,2,1693414
0,2005,3,1362975
0,2005,4,1448480
0,2005,5,977239
0,2005,6,1031035
0,2005,7,1338538
0,2005,8,992588
0,2005,9,1186906
0,2005,10,1484711
0,2005,11,1606847
0,2006,0,1476249
0,2006,1,1329365
0,2006,2,1604545
0,2006,3,1406525
0,2006,4,977519
0,2006,5,747930
0,2006,6,589171
0,2006,7,1203603
0,2006,8,782806
0,2006,9,963508
0,2006,10,1528172
0,2006,11,1720041
0,2007,0,73891
0,2007,1,0
0,2007,2,0
0,2007,3,0
0,2007,4,0
0,2007,5,0
0,2007,6,0
0,2007,7,0
0,2007,8,0
0,2007,9,0
0,2007,10,0
0,2007,11,0
