./pomplogs/Eesveen3_2.txt.gz
Pomp,jaar,maand,seconden
0,2007,0,2139704
0,2007,1,1744764
0,2007,2,1865639
0,2007,3,927045
0,2007,4,964628
0,2007,5,1192000
0,2007,6,1909314
0,2007,7,1231340
0,2007,8,1145867
0,2007,9,1218317
0,2007,10,1645185
0,2007,11,1827130
0,2008,0,1921080
0,2008,1,1683624
0,2008,2,2045958
0,2008,3,1444892
0,2008,4,932196
0,2008,5,898685
0,2008,6,1271597
0,2008,7,1659391
0,2008,8,1140360
0,2008,9,1914311
0,2008,10,1940739
0,2008,11,1716083
0,2009,0,1778755
0,2009,1,1711548
0,2009,2,1863896
0,2009,3,1280373
0,2009,4,1076286
0,2009,5,162742
0,2009,6,1473107
0,2009,7,975252
0,2009,8,797763
0,2009,9,1276900
0,2009,10,1812970
0,2009,11,1907533
0,2010,0,1783811
0,2010,1,1757099
0,2010,2,1866965
0,2010,3,1360406
0,2010,4,1264210
0,2010,5,875266
0,2010,6,976652
0,2010,7,1521342
0,2010,8,1707384
0,2010,9,1740222
0,2010,10,1805647
0,2010,11,1589602
0,2011,0,1874006
0,2011,1,828462
0,2011,2,1149326
0,2011,3,926390
0,2011,4,837102
0,2011,5,946282
0,2011,6,1321427
0,2011,7,1517217
0,2011,8,1489655
0,2011,9,1684143
0,2011,10,1342575
0,2011,11,2125827
0,2012,0,2009078
0,2012,1,1602007
0,2012,2,1474561
0,2012,3,1281366
0,2012,4,1096631
0,2012,5,1205974
0,2012,6,1651603
0,2012,7,1693306
0,2012,8,429384
0,2012,9,0
0,2012,10,0
0,2012,11,0
