./pomplogs/Eesveen3.txt.gz
Pomp,jaar,maand,seconden
0,2009,0,0
0,2009,1,0
0,2009,2,0
0,2009,3,0
0,2009,4,0
0,2009,5,161940
0,2009,6,1473107
0,2009,7,975252
0,2009,8,797763
0,2009,9,1276900
0,2009,10,1812970
0,2009,11,1907533
0,2010,0,1783811
0,2010,1,1757099
0,2010,2,1866965
0,2010,3,1360406
0,2010,4,1264210
0,2010,5,875266
0,2010,6,976652
0,2010,7,1521342
0,2010,8,1707384
0,2010,9,1740222
0,2010,10,1805647
0,2010,11,1589602
0,2011,0,1874006
0,2011,1,828462
0,2011,2,1149326
0,2011,3,926390
0,2011,4,837102
0,2011,5,946282
0,2011,6,1321427
0,2011,7,1517217
0,2011,8,1489655
0,2011,9,1684143
0,2011,10,1342575
0,2011,11,2125827
0,2012,0,2009078
0,2012,1,1602007
0,2012,2,1474561
0,2012,3,1281366
0,2012,4,1096631
0,2012,5,1205974
0,2012,6,1651603
0,2012,7,1175317
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
