./pomplogs/Gelderingen.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,13228
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,42804
0,2000,11,0
0,2001,0,0
0,2001,1,9227539
0,2001,2,805839
0,2001,3,11
0,2001,4,333945
0,2001,5,839840
0,2001,6,17393
0,2001,7,738090
0,2001,8,1290765
0,2001,9,1579260
0,2001,10,1639020
0,2001,11,1569391
0,2002,0,709084
0,2002,1,1349159
0,2002,2,1377760
0,2002,3,7624
0,2002,4,265368
0,2002,5,0
0,2002,6,0
0,2002,7,69566
0,2002,8,0
0,2002,9,293466
0,2002,10,1516615
0,2002,11,1371021
0,2003,0,1592678
0,2003,1,1139523
0,2003,2,225907
0,2003,3,1022534
0,2003,4,400689
0,2003,5,5944
0,2003,6,21387
0,2003,7,3210
0,2003,8,12104
0,2003,9,73419
0,2003,10,337062
0,2003,11,1461413
0,2004,0,1610194
0,2004,1,1597855
0,2004,2,1225264
0,2004,3,1151421
0,2004,4,571801
0,2004,5,567088
0,2004,6,663333
0,2004,7,698631
0,2004,8,648177
0,2004,9,829958
0,2004,10,1407860
0,2004,11,988634
0,2005,0,1146891
0,2005,1,79778
0,2005,2,131191
0,2005,3,6
0,2005,4,9655
0,2005,5,0
0,2005,6,23024
0,2005,7,432657
0,2005,8,198613
0,2005,9,29273
0,2005,10,666407
0,2005,11,1322451
0,2006,0,1481440
0,2006,1,1094141
0,2006,2,1228741
0,2006,3,822243
0,2006,4,326690
0,2006,5,378324
0,2006,6,4579
0,2006,7,11134
0,2006,8,10991
0,2006,9,226445
0,2006,10,1465816
0,2006,11,1510493
0,2007,0,1772677
0,2007,1,1531445
0,2007,2,1405208
0,2007,3,554935
0,2007,4,13668
0,2007,5,174645
0,2007,6,115286
0,2007,7,42519
0,2007,8,29676
0,2007,9,510893
0,2007,10,1380656
0,2007,11,1331089
0,2008,0,1440994
0,2008,1,1315436
0,2008,2,1446035
0,2008,3,1193162
0,2008,4,760745
0,2008,5,980
0,2008,6,23280
0,2008,7,33723
0,2008,8,6264
0,2008,9,1331819
0,2008,10,1292492
0,2008,11,1351586
0,2009,0,1420398
0,2009,1,1312211
0,2009,2,1349982
0,2009,3,1113719
0,2009,4,467027
0,2009,5,673
0,2009,6,7515
0,2009,7,982
0,2009,8,317
0,2009,9,1224
0,2009,10,984201
0,2009,11,1373678
0,2010,0,1218696
0,2010,1,1309079
0,2010,2,1318638
0,2010,3,847203
0,2010,4,12660
0,2010,5,6077
0,2010,6,14492
0,2010,7,166309
0,2010,8,77045
0,2010,9,444754
0,2010,10,1308101
0,2010,11,994963
0,2011,0,1086863
0,2011,1,851535
0,2011,2,931523
0,2011,3,404007
0,2011,4,32339
0,2011,5,2735
0,2011,6,97637
0,2011,7,14866
0,2011,8,803456
0,2011,9,1446710
0,2011,10,1046422
0,2011,11,1664233
0,2012,0,1634699
0,2012,1,1166249
0,2012,2,1136072
0,2012,3,1059275
0,2012,4,1136252
0,2012,5,1154393
0,2012,6,1336380
0,2012,7,944776
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
1,2000,0,0
1,2000,1,0
1,2000,2,0
1,2000,3,0
1,2000,4,0
1,2000,5,0
1,2000,6,0
1,2000,7,0
1,2000,8,0
1,2000,9,0
1,2000,10,0
1,2000,11,0
1,2001,0,0
1,2001,1,0
1,2001,2,769016
1,2001,3,1730849
1,2001,4,1138204
1,2001,5,131487
1,2001,6,1518244
1,2001,7,830696
1,2001,8,451258
1,2001,9,2280
1,2001,10,16689
1,2001,11,218088
1,2002,0,1130293
1,2002,1,388822
1,2002,2,132603
1,2002,3,1580588
1,2002,4,1355013
1,2002,5,1491620
1,2002,6,1462038
1,2002,7,1424032
1,2002,8,1359042
1,2002,9,1268139
1,2002,10,3638
1,2002,11,17474
1,2003,0,78796
1,2003,1,116932
1,2003,2,1289161
1,2003,3,1736
1,2003,4,1207457
1,2003,5,1464433
1,2003,6,1378686
1,2003,7,1000498
1,2003,8,1122402
1,2003,9,1135251
1,2003,10,1151600
1,2003,11,56285
1,2004,0,16887
1,2004,1,62970
1,2004,2,0
1,2004,3,0
1,2004,4,561117
1,2004,5,729795
1,2004,6,810317
1,2004,7,1074776
1,2004,8,325272
1,2004,9,458142
1,2004,10,27376
1,2004,11,500981
1,2005,0,13849
1,2005,1,1750982
1,2005,2,1522491
1,2005,3,1354424
1,2005,4,1694033
1,2005,5,1542818
1,2005,6,1459072
1,2005,7,1439170
1,2005,8,1373994
1,2005,9,1559477
1,2005,10,952558
1,2005,11,4542
1,2006,0,0
1,2006,1,384
1,2006,2,9291
1,2006,3,247460
1,2006,4,1007134
1,2006,5,750557
1,2006,6,1010226
1,2006,7,1769782
1,2006,8,1323845
1,2006,9,1272180
1,2006,10,5116
1,2006,11,227
1,2007,0,149839
1,2007,1,0
1,2007,2,95436
1,2007,3,711668
1,2007,4,1587614
1,2007,5,1502381
1,2007,6,2043103
1,2007,7,1633914
1,2007,8,1481595
1,2007,9,1035928
1,2007,10,715
1,2007,11,72710
1,2008,0,27172
1,2008,1,11955
