./pomplogs/Giethoorn.txt.gz
Pomp,jaar,maand,seconden
0,1999,0,0
0,1999,1,0
0,1999,2,0
0,1999,3,0
0,1999,4,0
0,1999,5,0
0,1999,6,0
0,1999,7,0
0,1999,8,0
0,1999,9,0
0,1999,10,0
0,1999,11,0
0,2001,0,0
0,2001,1,414646
0,2001,2,760938
0,2001,3,972758
0,2001,4,558980
0,2001,5,570656
0,2001,6,471352
0,2001,7,696836
0,2001,8,841604
0,2001,9,773455
0,2001,10,872863
0,2001,11,766660
0,2002,0,853739
0,2002,1,971523
0,2002,2,683676
0,2002,3,549091
0,2002,4,649878
0,2002,5,467426
0,2002,6,465483
0,2002,7,584669
0,2002,8,498759
0,2002,9,652140
0,2002,10,563916
0,2002,11,835823
0,2003,0,783173
0,2003,1,544976
0,2003,2,983595
0,2003,3,521227
0,2003,4,547173
0,2003,5,539854
0,2003,6,496675
0,2003,7,313095
0,2003,8,408076
0,2003,9,577469
0,2003,10,684299
0,2003,11,839954
0,2004,0,805117
0,2004,1,754871
0,2004,2,699781
0,2004,3,597620
0,2004,4,416702
0,2004,5,475497
0,2004,6,714752
0,2004,7,752464
0,2004,8,461179
0,2004,9,1041638
0,2004,10,738566
0,2004,11,677997
0,2005,0,687703
0,2005,1,487796
0,2005,2,595999
0,2005,3,523094
0,2005,4,651750
0,2005,5,514738
0,2005,6,501416
0,2005,7,781618
0,2005,8,549165
0,2005,9,665570
0,2005,10,701309
0,2005,11,669080
0,2006,0,633586
0,2006,1,588656
0,2006,2,639038
0,2006,3,602043
0,2006,4,603467
0,2006,5,409740
0,2006,6,322837
0,2006,7,743551
0,2006,8,484500
0,2006,9,642245
0,2006,10,862482
0,2006,11,880442
0,2007,0,1079418
0,2007,1,696757
0,2007,2,753174
0,2007,3,494893
0,2007,4,585593
0,2007,5,724931
0,2007,6,871663
0,2007,7,660080
0,2007,8,608367
0,2007,9,884431
0,2007,10,765824
0,2007,11,903512
0,2008,0,694344
0,2008,1,632130
0,2008,2,749677
0,2008,3,619878
0,2008,4,508247
0,2008,5,404904
0,2008,6,411872
0,2008,7,413743
0,2008,8,413635
0,2008,9,1109352
0,2008,10,683159
0,2008,11,482507
0,2009,0,1027087
0,2009,1,893472
0,2009,2,618170
0,2009,3,1212828
0,2009,4,1526976
0,2009,5,748267
0,2009,6,649924
0,2009,7,454330
0,2009,8,340034
0,2009,9,791640
0,2009,10,1160685
0,2009,11,809365
0,2010,0,827191
0,2010,1,843830
0,2010,2,1022913
0,2010,3,595000
0,2010,4,644108
0,2010,5,431763
0,2010,6,436608
0,2010,7,791457
0,2010,8,990323
0,2010,9,601098
0,2010,10,588136
0,2010,11,609387
0,2011,0,686285
0,2011,1,579057
0,2011,2,626513
0,2011,3,648681
0,2011,4,634536
0,2011,5,646153
0,2011,6,620701
0,2011,7,907096
0,2011,8,779040
0,2011,9,890271
0,2011,10,715169
0,2011,11,1034932
0,2012,0,1268829
0,2012,1,862139
0,2012,2,838395
0,2012,3,768063
0,2012,4,807977
0,2012,5,788233
0,2012,6,782607
0,2012,7,608532
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
1,1999,0,0
1,1999,1,0
1,1999,2,0
1,1999,3,0
1,1999,4,0
1,1999,5,0
1,1999,6,0
1,1999,7,0
1,1999,8,0
1,1999,9,0
