./pomplogs/GrotePolder.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,21347243
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,3362
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,0
0,2001,0,439572
0,2001,1,440986
0,2001,2,679419
0,2001,3,436351
0,2001,4,744314
0,2001,5,203445
0,2001,6,203001
0,2001,7,667726
0,2001,8,1441953
0,2001,9,462014
0,2001,10,841140
0,2001,11,1174156
0,2002,0,957047
0,2002,1,1200685
0,2002,2,488034
0,2002,3,232054
0,2002,4,399626
0,2002,5,285459
0,2002,6,196639
0,2002,7,300982
0,2002,8,120243
0,2002,9,217200
0,2002,10,633951
0,2002,11,556697
0,2003,0,920821
0,2003,1,449192
0,2003,2,314018
0,2003,3,200273
0,2003,4,512655
0,2003,5,224432
0,2003,6,187533
0,2003,7,49169
0,2003,8,579328
0,2003,9,126506
0,2003,10,256170
0,2003,11,724277
0,2004,0,1063821
0,2004,1,846406
0,2004,2,371877
0,2004,3,745774
0,2004,4,152173
0,2004,5,179555
0,2004,6,303130
0,2004,7,648273
0,2004,8,219682
0,2004,9,395197
0,2004,10,654258
0,2004,11,475110
0,2005,0,499290
0,2005,1,549398
0,2005,2,378228
0,2005,3,286907
0,2005,4,313254
0,2005,5,132448
0,2005,6,218960
0,2005,7,436601
0,2005,8,217910
0,2005,9,188645
0,2005,10,412848
0,2005,11,583245
0,2006,0,474742
0,2006,1,434232
0,2006,2,432213
0,2006,3,352944
0,2006,4,202405
0,2006,5,156252
0,2006,6,70341
0,2006,7,274308
0,2006,8,190970
0,2006,9,223357
0,2006,10,460161
0,2006,11,801270
0,2007,0,1198104
0,2007,1,1350152
0,2007,2,395733
0,2007,3,179940
0,2007,4,294471
0,2007,5,418981
0,2007,6,946088
0,2007,7,703246
0,2007,8,168134
0,2007,9,239409
0,2007,10,524759
0,2007,11,678754
0,2008,0,982220
0,2008,1,878158
0,2008,2,637355
0,2008,3,799384
0,2008,4,184981
0,2008,5,105481
0,2008,6,454518
0,2008,7,591261
0,2008,8,210221
0,2008,9,777538
0,2008,10,1030985
0,2008,11,1011744
0,2009,0,710176
0,2009,1,1031360
0,2009,2,616489
0,2009,3,255316
0,2009,4,259615
0,2009,5,241224
0,2009,6,241874
0,2009,7,137043
0,2009,8,112716
0,2009,9,154482
0,2009,10,485688
0,2009,11,919442
0,2010,0,693106
0,2010,1,823211
0,2010,2,559124
0,2010,3,263227
0,2010,4,380227
0,2010,5,157949
0,2010,6,206269
0,2010,7,573536
0,2010,8,652441
0,2010,9,565175
0,2010,10,668399
0,2010,11,527243
0,2011,0,593934
0,2011,1,361205
0,2011,2,232399
0,2011,3,114874
0,2011,4,197483
0,2011,5,253979
0,2011,6,428048
0,2011,7,359664
0,2011,8,379117
0,2011,9,482914
0,2011,10,169255
0,2011,11,1044616
0,2012,0,878675
0,2012,1,479924
0,2012,2,263054
0,2012,3,211944
0,2012,4,238937
0,2012,5,249682
0,2012,6,556128
0,2012,7,351244
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
