./pomplogs/Hagenbroek.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,0
0,2001,0,0
0,2001,1,111186
0,2001,2,0
0,2001,3,0
0,2001,4,5754
0,2001,5,0
0,2001,6,1855
0,2001,7,50244
0,2001,8,145404
0,2001,9,0
0,2001,10,42672
0,2001,11,39276
0,2002,0,71105
0,2002,1,382128
0,2002,2,0
0,2002,3,0
0,2002,4,208
0,2002,5,131
0,2002,6,124
0,2002,7,102
0,2002,8,0
0,2002,9,882
0,2002,10,27094
0,2002,11,69405
0,2003,0,140955
0,2003,1,0
0,2003,2,0
0,2003,3,0
0,2003,4,0
0,2003,5,0
0,2003,6,0
0,2003,7,0
0,2003,8,0
0,2003,9,0
0,2003,10,0
0,2003,11,0
0,2004,0,37036
0,2004,1,77470
0,2004,2,0
0,2004,3,0
0,2004,4,0
0,2004,5,0
0,2004,6,2179
0,2004,7,12836
0,2004,8,0
0,2004,9,0
0,2004,10,31871
0,2004,11,0
0,2005,0,0
0,2005,1,74697
0,2005,2,54661
0,2005,3,0
0,2005,4,0
0,2005,5,0
0,2005,6,19246
0,2005,7,0
0,2005,8,0
0,2005,9,0
0,2005,10,0
0,2005,11,0
0,2006,0,0
0,2006,1,0
0,2006,2,0
0,2006,3,0
0,2006,4,0
0,2006,5,0
0,2006,6,0
0,2006,7,0
0,2006,8,0
0,2006,9,414
0,2006,10,0
0,2006,11,0
0,2007,0,253519
0,2007,1,1707
0,2007,2,54920
0,2007,3,0
0,2007,4,113
0,2007,5,53431
0,2007,6,249325
0,2007,7,151
0,2007,8,0
0,2007,9,0
0,2007,10,0
0,2007,11,0
0,2008,0,0
0,2008,1,199800
0,2008,2,372600
0,2008,3,98100
0,2008,4,140400
0,2008,5,109800
0,2008,6,310500
0,2008,7,372600
0,2008,8,121500
0,2008,9,387900
0,2008,10,1133100
0,2008,11,284400
0,2009,0,391500
0,2009,1,312300
0,2009,2,298800
0,2009,3,113400
0,2009,4,207000
0,2009,5,135283
0,2009,6,151752
0,2009,7,68400
0,2009,8,87499
0,2009,9,160597
0,2009,10,328886
0,2009,11,659203
0,2010,0,396425
0,2010,1,529251
0,2010,2,285224
0,2010,3,184428
0,2010,4,239577
0,2010,5,127619
0,2010,6,115360
0,2010,7,394111
0,2010,8,360168
0,2010,9,288184
0,2010,10,391455
0,2010,11,307667
0,2011,0,544498
0,2011,1,200487
0,2011,2,145884
0,2011,3,73216
0,2011,4,53770
0,2011,5,93591
0,2011,6,121950
0,2011,7,0
0,2011,8,0
0,2011,9,0
0,2011,10,0
0,2011,11,0
0,2012,0,601969
0,2012,1,237425
0,2012,2,115239
0,2012,3,64273
0,2012,4,144175
0,2012,5,124752
0,2012,6,413816
0,2012,7,270970
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
