./pomplogs/Halfweg.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,0
0,2001,0,0
0,2001,1,274552
0,2001,2,418645
0,2001,3,331739
0,2001,4,337432
0,2001,5,406345
0,2001,6,361026
0,2001,7,503248
0,2001,8,656027
0,2001,9,521754
0,2001,10,655695
0,2001,11,649831
0,2002,0,513683
0,2002,1,433211
0,2002,2,498237
0,2002,3,428191
0,2002,4,893846
0,2002,5,301017
0,2002,6,396446
0,2002,7,283805
0,2002,8,277730
0,2002,9,318902
0,2002,10,590351
0,2002,11,644522
0,2003,0,650745
0,2003,1,413590
0,2003,2,390569
0,2003,3,265002
0,2003,4,422453
0,2003,5,364985
0,2003,6,232671
0,2003,7,195799
0,2003,8,248038
0,2003,9,347152
0,2003,10,475281
0,2003,11,592826
0,2004,0,616715
0,2004,1,519848
0,2004,2,430701
0,2004,3,333798
0,2004,4,367918
0,2004,5,409327
0,2004,6,517364
0,2004,7,437882
0,2004,8,459853
0,2004,9,376958
0,2004,10,443443
0,2004,11,387255
0,2005,0,960607
0,2005,1,485137
0,2005,2,523843
0,2005,3,485441
0,2005,4,400338
0,2005,5,358418
0,2005,6,369135
0,2005,7,393886
0,2005,8,427787
0,2005,9,439532
0,2005,10,474877
0,2005,11,475725
0,2006,0,346046
0,2006,1,395168
0,2006,2,451620
0,2006,3,308850
0,2006,4,297814
0,2006,5,259992
0,2006,6,178033
0,2006,7,468608
0,2006,8,290797
0,2006,9,383050
0,2006,10,505943
0,2006,11,510563
0,2007,0,638688
0,2007,1,494381
0,2007,2,532635
0,2007,3,228368
0,2007,4,337903
0,2007,5,855324
0,2007,6,675593
0,2007,7,372803
0,2007,8,369210
0,2007,9,396879
0,2007,10,442849
0,2007,11,555191
0,2008,0,556176
0,2008,1,340401
0,2008,2,446969
0,2008,3,380297
0,2008,4,293936
0,2008,5,256997
0,2008,6,364124
0,2008,7,410280
0,2008,8,334873
0,2008,9,558975
0,2008,10,500069
0,2008,11,429028
0,2009,0,454941
0,2009,1,461418
0,2009,2,486752
0,2009,3,301603
0,2009,4,404811
0,2009,5,256548
0,2009,6,385111
0,2009,7,218525
0,2009,8,725958
0,2009,9,369775
0,2009,10,520523
0,2009,11,543727
0,2010,0,497377
0,2010,1,498016
0,2010,2,391994
0,2010,3,311931
0,2010,4,360910
0,2010,5,212486
0,2010,6,254218
0,2010,7,368934
0,2010,8,242889
0,2010,9,378817
0,2010,10,337964
0,2010,11,290998
0,2011,0,323493
0,2011,1,221411
0,2011,2,228227
0,2011,3,259412
0,2011,4,254023
0,2011,5,307962
0,2011,6,493024
0,2011,7,498330
0,2011,8,456392
0,2011,9,521751
0,2011,10,338607
0,2011,11,572020
0,2012,0,646159
0,2012,1,308244
0,2012,2,315039
0,2012,3,296924
0,2012,4,312547
0,2012,5,344764
0,2012,6,534075
0,2012,7,417561
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
1,2000,0,0
1,2000,1,0
1,2000,2,0
1,2000,3,11370
1,2000,4,0
1,2000,5,0
1,2000,6,0
1,2000,7,0
1,2000,8,0
1,2000,9,0
1,2000,10,0
1,2000,11,0
1,2001,0,0
1,2001,1,409258
1,2001,2,433461
1,2001,3,348494
1,2001,4,339913
1,2001,5,329007
1,2001,6,345120
1,2001,7,539825
1,2001,8,680612
1,2001,9,538025
1,2001,10,592086
1,2001,11,1076091
1,2002,0,702032
1,2002,1,581016
1,2002,2,411006
1,2002,3,426514
1,2002,4,275862
1,2002,5,198757
1,2002,6,344793
1,2002,7,316099
1,2002,8,379776
1,2002,9,363070
1,2002,10,488141
1,2002,11,513253
1,2003,0,480222
1,2003,1,366170
1,2003,2,333342
1,2003,3,253263
1,2003,4,396195
1,2003,5,314729
1,2003,6,303673
1,2003,7,154096
1,2003,8,256619
1,2003,9,266442
1,2003,10,333359
1,2003,11,465991
1,2004,0,604627
1,2004,1,641043
1,2004,2,344122
1,2004,3,271236
1,2004,4,333742
1,2004,5,236430
1,2004,6,427883
1,2004,7,653044
1,2004,8,354630
1,2004,9,372742
1,2004,10,416982
1,2004,11,335050
1,2005,0,391331
1,2005,1,454365
1,2005,2,415319
1,2005,3,503324
1,2005,4,413694
1,2005,5,302133
1,2005,6,296631
1,2005,7,508031
1,2005,8,379989
1,2005,9,392011
1,2005,10,460407
1,2005,11,452283
1,2006,0,320908
1,2006,1,428851
1,2006,2,426888
1,2006,3,397323
1,2006,4,347164
1,2006,5,275344
1,2006,6,214604
1,2006,7,466001
1,2006,8,322388
1,2006,9,400589
1,2006,10,540084
1,2006,11,507083
1,2007,0,670620
1,2007,1,497696
1,2007,2,490049
1,2007,3,201161
1,2007,4,329993
1,2007,5,377242
1,2007,6,588039
1,2007,7,369444
1,2007,8,334553
1,2007,9,337223
1,2007,10,417923
1,2007,11,454114
1,2008,0,458419
1,2008,1,387993
1,2008,2,469841
1,2008,3,255401
1,2008,4,296125
1,2008,5,284405
1,2008,6,380090
1,2008,7,366655
1,2008,8,302791
1,2008,9,558589
