./pomplogs/Leeuwterveld.txt.gz
Pomp,jaar,maand,seconden
0,2009,0,0
0,2009,1,0
0,2009,2,0
0,2009,3,0
0,2009,4,0
0,2009,5,1748
0,2009,6,154232
0,2009,7,20072
0,2009,8,45797
0,2009,9,147086
0,2009,10,331799
0,2009,11,290617
0,2010,0,100765
0,2010,1,210518
0,2010,2,184446
0,2010,3,155912
0,2010,4,164291
0,2010,5,45881
0,2010,6,47693
0,2010,7,262835
0,2010,8,224218
0,2010,9,117747
0,2010,10,193980
0,2010,11,110566
0,2011,0,257022
0,2011,1,41767
0,2011,2,72020
0,2011,3,42142
0,2011,4,2473
0,2011,5,74614
0,2011,6,224178
0,2011,7,216890
0,2011,8,107221
0,2011,9,115453
0,2011,10,35139
0,2011,11,251698
0,2012,0,348359
0,2012,1,80550
0,2012,2,53958
0,2012,3,72124
0,2012,4,83691
0,2012,5,158621
0,2012,6,174505
0,2012,7,265576
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
1,2009,0,0
1,2009,1,0
1,2009,2,0
1,2009,3,0
1,2009,4,0
1,2009,5,0
1,2009,6,0
1,2009,7,0
1,2009,8,0
1,2009,9,0
1,2009,10,0
1,2009,11,0
1,2010,0,0
1,2010,1,142152
1,2010,2,165573
1,2010,3,134450
1,2010,4,163972
1,2010,5,39498
1,2010,6,47750
1,2010,7,205802
1,2010,8,224327
1,2010,9,116885
1,2010,10,174702
1,2010,11,94066
1,2011,0,238072
1,2011,1,99865
1,2011,2,91158
1,2011,3,32623
1,2011,4,8522
1,2011,5,75894
1,2011,6,212559
1,2011,7,211824
1,2011,8,100932
1,2011,9,142849
1,2011,10,24175
1,2011,11,258437
1,2012,0,342201
1,2012,1,67814
1,2012,2,64723
1,2012,3,56257
1,2012,4,85230
1,2012,5,166685
1,2012,6,182577
1,2012,7,262663
1,2012,8,0
1,2012,9,0
1,2012,10,0
1,2012,11,0
