./pomplogs/MarkerTbroek.txt.gz
Pomp,jaar,maand,seconden
0,2009,0,0
0,2009,1,0
0,2009,2,0
0,2009,3,0
0,2009,4,43
0,2009,5,874
0,2009,6,147
0,2009,7,0
0,2009,8,114
0,2009,9,62510
0,2009,10,506519
0,2009,11,1200252
0,2010,0,546841
0,2010,1,944580
0,2010,2,563324
0,2010,3,170173
0,2010,4,109431
0,2010,5,90
0,2010,6,5182
0,2010,7,332688
0,2010,8,497122
0,2010,9,416789
0,2010,10,647916
0,2010,11,343300
0,2011,0,729736
0,2011,1,156144
0,2011,2,102549
0,2011,3,106
0,2011,4,38
0,2011,5,95
0,2011,6,204642
0,2011,7,166256
0,2011,8,453695
0,2011,9,506008
0,2011,10,100912
0,2011,11,1170871
0,2012,0,991983
0,2012,1,320531
0,2012,2,216713
0,2012,3,6633
0,2012,4,45255
0,2012,5,37563
0,2012,6,347191
0,2012,7,369550
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
