./pomplogs/NijensleekP1.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,45961
0,2001,0,7599
0,2001,1,0
0,2001,2,0
0,2001,3,0
0,2001,4,201779
0,2001,5,379586
0,2001,6,84776
0,2001,7,798634
0,2001,8,63652
0,2001,9,259
0,2001,10,42009
0,2001,11,147342
0,2002,0,181657
0,2002,1,680817
0,2002,2,1777
0,2002,3,0
0,2002,4,0
0,2002,5,0
0,2002,6,18015
0,2002,7,110634
0,2002,8,359990
0,2002,9,599823
0,2002,10,73012
0,2002,11,53703
0,2003,0,282187
0,2003,1,50197
0,2003,2,1501
0,2003,3,21
0,2003,4,18
0,2003,5,169238
0,2003,6,94195
0,2003,7,304
0,2003,8,105
0,2003,9,4934
0,2003,10,898
0,2003,11,254381
0,2004,0,59886
0,2004,1,367571
0,2004,2,1225
0,2004,3,0
0,2004,4,29849
0,2004,5,469382
0,2004,6,264485
0,2004,7,94727
0,2004,8,30
0,2004,9,1503
0,2004,10,44419
0,2004,11,88
0,2005,0,257544
0,2005,1,101742
0,2005,2,84405
0,2005,3,178
0,2005,4,285744
0,2005,5,196370
0,2005,6,75
0,2005,7,70
0,2005,8,2518
0,2005,9,0
0,2005,10,0
0,2005,11,2101
0,2006,0,6423
0,2006,1,0
0,2006,2,1061838
0,2006,3,379744
0,2006,4,856653
0,2006,5,307802
0,2006,6,48934
0,2006,7,748692
0,2006,8,553099
0,2006,9,561590
0,2006,10,263
0,2006,11,4324
0,2007,0,358504
0,2007,1,145555
0,2007,2,175724
0,2007,3,0
0,2007,4,63
0,2007,5,4495
0,2007,6,171725
0,2007,7,41
0,2007,8,1020
0,2007,9,1009
0,2007,10,3896
0,2007,11,278387
0,2008,0,56724
0,2008,1,13366
0,2008,2,81719
0,2008,3,50
0,2008,4,575489
0,2008,5,438075
0,2008,6,500349
0,2008,7,907080
0,2008,8,160433
0,2008,9,121164
0,2008,10,166431
0,2008,11,76
0,2009,0,134981
0,2009,1,30603
0,2009,2,82
0,2009,3,0
0,2009,4,175776
0,2009,5,416
0,2009,6,595446
0,2009,7,141198
0,2009,8,12186
0,2009,9,4709
0,2009,10,13416
0,2009,11,189454
0,2010,0,9082
0,2010,1,83689
0,2010,2,44465
0,2010,3,75275
0,2010,4,765544
0,2010,5,223286
0,2010,6,422769
0,2010,7,676536
0,2010,8,1093342
0,2010,9,14684
0,2010,10,55477
0,2010,11,27903
0,2011,0,97890
0,2011,1,2124
0,2011,2,4902
0,2011,3,150205
0,2011,4,190305
0,2011,5,176382
0,2011,6,438024
0,2011,7,1055757
0,2011,8,14482
0,2011,9,12345
0,2011,10,10185
0,2011,11,77261
0,2012,0,347739
0,2012,1,74402
0,2012,2,22202
0,2012,3,877774
0,2012,4,567922
0,2012,5,1039053
0,2012,6,725474
0,2012,7,1366962
0,2012,8,339360
0,2012,9,32374
0,2012,10,67288
0,2012,11,46976
