./pomplogs/Stroink.txt.gz
Pomp,jaar,maand,seconden
0,2001,0,0
0,2001,1,22
0,2001,2,35844
0,2001,3,9784
0,2001,4,0
0,2001,5,0
0,2001,6,0
0,2001,7,37878
0,2001,8,173670
0,2001,9,1859
0,2001,10,51841
0,2001,11,108028
0,2002,0,214
0,2002,1,317331
0,2002,2,537049
0,2002,3,0
0,2002,4,28039
0,2002,5,29963
0,2002,6,40141
0,2002,7,70368
0,2002,8,0
0,2002,9,486
0,2002,10,216
0,2002,11,55944
0,2003,0,49105
0,2003,1,25890
0,2003,2,0
0,2003,3,2034
0,2003,4,0
0,2003,5,0
0,2003,6,0
0,2003,7,0
0,2003,8,264906
0,2003,9,1940
0,2003,10,0
0,2003,11,182383
0,2004,0,73176
0,2004,1,522026
0,2004,2,5957
0,2004,3,0
0,2004,4,0
0,2004,5,0
0,2004,6,1064190
0,2004,7,347597
0,2004,8,264
0,2004,9,1748
0,2004,10,23049
0,2004,11,95487
0,2005,0,199837
0,2005,1,409827
0,2005,2,171623
0,2005,3,1004
0,2005,4,539
0,2005,5,0
0,2005,6,0
0,2005,7,0
0,2005,8,47276
0,2005,9,215995
0,2005,10,438617
0,2005,11,491069
0,2006,0,689905
0,2006,1,377993
0,2006,2,287158
0,2006,3,48464
0,2006,4,488
0,2006,5,227347
0,2006,6,2198
0,2006,7,254770
0,2006,8,40152
0,2006,9,104698
0,2006,10,69666
0,2006,11,61050
0,2007,0,280877
0,2007,1,135007
0,2007,2,176051
0,2007,3,0
0,2007,4,0
0,2007,5,0
0,2007,6,212197
0,2007,7,0
0,2007,8,53
0,2007,9,265545
0,2007,10,6717
0,2007,11,73872
0,2008,0,133832
0,2008,1,11989
0,2008,2,82504
0,2008,3,424
0,2008,4,441751
0,2008,5,0
0,2008,6,1713
0,2008,7,222436
0,2008,8,64223
0,2008,9,147060
0,2008,10,97488
0,2008,11,42472
0,2009,0,71534
0,2009,1,88181
0,2009,2,62991
0,2009,3,567
0,2009,4,1007
0,2009,5,90
0,2009,6,526
0,2009,7,0
0,2009,8,9855
0,2009,9,38404
0,2009,10,95115
0,2009,11,206723
0,2010,0,0
0,2010,1,41308
0,2010,2,29982
0,2010,3,0
0,2010,4,13802
0,2010,5,1072
0,2010,6,1681
0,2010,7,158096
0,2010,8,119638
0,2010,9,2746
0,2010,10,107084
0,2010,11,83598
0,2011,0,73594
0,2011,1,0
0,2011,2,357
0,2011,3,12453
0,2011,4,699
0,2011,5,2695
0,2011,6,56644
0,2011,7,52871
0,2011,8,196763
0,2011,9,75437
0,2011,10,101598
0,2011,11,245242
0,2012,0,179633
0,2012,1,4634
