./pomplogs/Tussen_de_Diepten.txt.gz
Pomp,jaar,maand,seconden
0,2009,0,0
0,2009,1,0
0,2009,2,0
0,2009,3,0
0,2009,4,0
0,2009,5,123
0,2009,6,32658
0,2009,7,36308
0,2009,8,26187
0,2009,9,64647
0,2009,10,372823
0,2009,11,635060
0,2010,0,245570
0,2010,1,792873
0,2010,2,213200
0,2010,3,19324
0,2010,4,58581
0,2010,5,55
0,2010,6,24304
0,2010,7,354042
0,2010,8,423070
0,2010,9,297451
0,2010,10,411219
0,2010,11,465416
0,2011,0,714914
0,2011,1,76797
0,2011,2,6688
0,2011,3,57
0,2011,4,27
0,2011,5,15437
0,2011,6,327595
0,2011,7,411102
0,2011,8,517342
0,2011,9,416048
0,2011,10,22660
0,2011,11,691742
0,2012,0,678564
0,2012,1,148106
0,2012,2,64655
0,2012,3,11672
0,2012,4,20314
0,2012,5,52462
0,2012,6,517448
0,2012,7,640492
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
