./pomplogs/Veldweg.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,9995988
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,368
0,2000,10,0
0,2000,11,0
0,2001,0,0
0,2001,1,221506
0,2001,2,757390
0,2001,3,548642
0,2001,4,334431
0,2001,5,432068
0,2001,6,518069
0,2001,7,561915
0,2001,8,634322
0,2001,9,684749
0,2001,10,860991
0,2001,11,1099767
0,2002,0,1008971
0,2002,1,499168
0,2002,2,688092
0,2002,3,444470
0,2002,4,409694
0,2002,5,449387
0,2002,6,528870
0,2002,7,555272
0,2002,8,391550
0,2002,9,502884
0,2002,10,671330
0,2002,11,649372
0,2003,0,645955
0,2003,1,602322
0,2003,2,490263
0,2003,3,421412
0,2003,4,642780
0,2003,5,922484
0,2003,6,896568
0,2003,7,793401
0,2003,8,682960
0,2003,9,862782
0,2003,10,998781
0,2003,11,881493
0,2004,0,791963
0,2004,1,654334
0,2004,2,669405
0,2004,3,672048
0,2004,4,742151
0,2004,5,1015181
0,2004,6,1268164
0,2004,7,1256487
0,2004,8,1047904
0,2004,9,807161
0,2004,10,674098
0,2004,11,653488
0,2005,0,720359
0,2005,1,672650
0,2005,2,655628
0,2005,3,628887
0,2005,4,656163
0,2005,5,431877
0,2005,6,590328
0,2005,7,727609
0,2005,8,508874
0,2005,9,713748
0,2005,10,973829
0,2005,11,1042593
0,2006,0,899678
0,2006,1,796896
0,2006,2,858334
0,2006,3,637517
0,2006,4,417622
0,2006,5,406387
0,2006,6,315636
0,2006,7,659095
0,2006,8,554181
0,2006,9,700649
0,2006,10,792924
0,2006,11,896030
0,2007,0,783684
0,2007,1,790138
0,2007,2,895813
0,2007,3,506073
0,2007,4,429235
0,2007,5,750894
0,2007,6,900767
0,2007,7,765990
0,2007,8,699619
0,2007,9,775175
0,2007,10,769121
0,2007,11,819326
0,2008,0,1010610
0,2008,1,1092665
0,2008,2,1175587
0,2008,3,767166
0,2008,4,357754
0,2008,5,379368
0,2008,6,45961
0,2008,7,0
0,2008,8,0
0,2008,9,0
0,2008,10,0
0,2008,11,0
0,2009,0,31680
0,2009,1,503513
0,2009,2,501647
0,2009,3,336311
0,2009,4,236190
0,2009,5,200434
0,2009,6,336240
0,2009,7,130084
0,2009,8,269342
0,2009,9,380216
0,2009,10,558638
0,2009,11,488485
0,2010,0,575858
0,2010,1,481343
0,2010,2,525303
0,2010,3,350919
0,2010,4,290692
0,2010,5,188599
0,2010,6,282584
0,2010,7,402667
0,2010,8,659413
0,2010,9,550456
0,2010,10,591264
0,2010,11,720689
0,2011,0,1180881
0,2011,1,1203268
0,2011,2,1199527
0,2011,3,646622
0,2011,4,824634
0,2011,5,946619
0,2011,6,1083156
0,2011,7,1439302
0,2011,8,1340906
0,2011,9,1433797
0,2011,10,1401020
0,2011,11,1136923
0,2012,0,1161961
0,2012,1,1272590
0,2012,2,1516179
0,2012,3,1340347
0,2012,4,1251793
0,2012,5,1225666
0,2012,6,1372889
0,2012,7,1388837
0,2012,8,1264456
0,2012,9,1749021
0,2012,10,1759246
0,2012,11,580928
