./pomplogs/Zuidveen.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,54
0,2001,0,0
0,2001,1,360146
0,2001,2,143373
0,2001,3,0
0,2001,4,175811
0,2001,5,114172
0,2001,6,39115
0,2001,7,239778
0,2001,8,1554061
0,2001,9,86372
0,2001,10,711907
0,2001,11,469335
0,2002,0,715892
0,2002,1,1093753
0,2002,2,944583
0,2002,3,0
0,2002,4,82747
0,2002,5,19
0,2002,6,92
0,2002,7,0
0,2002,8,0
0,2002,9,0
0,2002,10,96773
0,2002,11,186125
0,2003,0,371246
0,2003,1,0
0,2003,2,0
0,2003,3,0
0,2003,4,0
0,2003,5,0
0,2003,6,2687
0,2003,7,0
0,2003,8,14124
0,2003,9,0
0,2003,10,0
0,2003,11,0
0,2004,0,257874
0,2004,1,143619
0,2004,2,1748
0,2004,3,64512
0,2004,4,0
0,2004,5,6326
0,2004,6,100727
0,2004,7,357591
0,2004,8,62150
0,2004,9,88735
0,2004,10,172218
0,2004,11,1215
0,2005,0,306990
0,2005,1,313160
0,2005,2,233894
0,2005,3,387
0,2005,4,229
0,2005,5,0
0,2005,6,103946
0,2005,7,29873
0,2005,8,106
0,2005,9,101117
0,2005,10,75398
0,2005,11,0
0,2006,0,0
0,2006,1,23789
0,2006,2,72
0,2006,3,0
0,2006,4,496
0,2006,5,764
0,2006,6,0
0,2006,7,62183
0,2006,8,0
0,2006,9,0
0,2006,10,79348
0,2006,11,323580
0,2007,0,561878
0,2007,1,267975
0,2007,2,344579
0,2007,3,0
0,2007,4,113
0,2007,5,200685
0,2007,6,401812
0,2007,7,493
0,2007,8,1817
0,2007,9,0
0,2007,10,101262
0,2007,11,250337
0,2008,0,440332
0,2008,1,263865
0,2008,2,176575
0,2008,3,338
0,2008,4,104
0,2008,5,597
0,2008,6,118328
0,2008,7,0
0,2008,8,259
0,2008,9,143091
0,2008,10,32263
0,2008,11,155277
0,2009,0,667773
0,2009,1,49984
0,2009,2,453313
0,2009,3,163061
0,2009,4,175523
0,2009,5,40140
0,2009,6,18373
0,2009,7,23884
0,2009,8,41818
0,2009,9,42007
0,2009,10,0
0,2009,11,22485
0,2010,0,1177005
0,2010,1,472867
0,2010,2,473
0,2010,3,661
0,2010,4,447
0,2010,5,26332
0,2010,6,97803
0,2010,7,234727
0,2010,8,5517
0,2010,9,461347
0,2010,10,567484
0,2010,11,1150423
0,2011,0,1037249
0,2011,1,656510
0,2011,2,356870
0,2011,3,60622
0,2011,4,516510
0,2011,5,2007139
0,2011,6,2007995
0,2011,7,512787
0,2011,8,598402
0,2011,9,580577
0,2011,10,421528
0,2011,11,1419758
0,2012,0,1044552
0,2012,1,1346912
0,2012,2,506398
0,2012,3,323850
0,2012,4,286774
0,2012,5,247300
0,2012,6,428103
0,2012,7,604549
0,2012,8,177619
0,2012,9,481368
0,2012,10,895734
0,2012,11,532369
