./pomplogs/deukten.txt.gz
Pomp,jaar,maand,seconden
0,1999,0,0
0,1999,1,0
0,1999,2,0
0,1999,3,0
0,1999,4,0
0,1999,5,0
0,1999,6,0
0,1999,7,0
0,1999,8,0
0,1999,9,0
0,1999,10,0
0,1999,11,0
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,0
0,2001,0,0
0,2001,1,134466
0,2001,2,0
0,2001,3,0
0,2001,4,59889
0,2001,5,0
0,2001,6,0
0,2001,7,15701
0,2001,8,138130
0,2001,9,0
0,2001,10,42387
0,2001,11,8354
0,2002,0,76214
0,2002,1,503714
0,2002,2,215006
0,2002,3,0
0,2002,4,0
0,2002,5,25250
0,2002,6,0
0,2002,7,0
0,2002,8,0
0,2002,9,0
0,2002,10,6326
0,2002,11,10260
0,2003,0,124350
0,2003,1,0
0,2003,2,0
0,2003,3,0
0,2003,4,0
0,2003,5,5745
0,2003,6,0
0,2003,7,0
0,2003,8,0
0,2003,9,0
0,2003,10,0
0,2003,11,111520
0,2004,0,217883
0,2004,1,743416
0,2004,2,739023
0,2004,3,1568259
0,2004,4,1169057
0,2004,5,1542714
0,2004,6,1348870
0,2004,7,1337562
0,2004,8,1374665
0,2004,9,1581432
0,2004,10,1783408
0,2004,11,1377684
0,2005,0,1365471
0,2005,1,1870796
0,2005,2,1948343
0,2005,3,1447206
0,2005,4,1556224
0,2005,5,1035082
0,2005,6,1664528
0,2005,7,1715721
0,2005,8,1232872
0,2005,9,1558642
0,2005,10,1747071
0,2005,11,1739789
0,2006,0,1200168
0,2006,1,1331804
0,2006,2,1458711
0,2006,3,1271891
0,2006,4,1852797
0,2006,5,1067583
0,2006,6,857099
0,2006,7,1172955
0,2006,8,971107
0,2006,9,1778641
0,2006,10,1704900
0,2006,11,1488973
0,2007,0,1978075
0,2007,1,1429392
0,2007,2,1380098
0,2007,3,1302697
0,2007,4,1227613
0,2007,5,947339
0,2007,6,1991316
0,2007,7,1414475
0,2007,8,1204605
0,2007,9,1480124
0,2007,10,1533384
0,2007,11,1686040
0,2008,0,1644020
0,2008,1,1335338
0,2008,2,1450236
0,2008,3,1608310
0,2008,4,1091271
0,2008,5,1422519
0,2008,6,1335637
0,2008,7,1471586
0,2008,8,1097804
0,2008,9,1659290
0,2008,10,1583485
0,2008,11,1338813
0,2009,0,1396561
0,2009,1,1545823
0,2009,2,1076168
0,2009,3,852540
0,2009,4,1006702
0,2009,5,973427
0,2009,6,1459205
0,2009,7,998137
0,2009,8,1121250
0,2009,9,1350157
0,2009,10,1533887
0,2009,11,1362165
0,2010,0,1349031
0,2010,1,1376458
0,2010,2,1398017
0,2010,3,1257220
0,2010,4,1303274
0,2010,5,1006838
0,2010,6,1129757
0,2010,7,1665726
0,2010,8,1590687
0,2010,9,1375607
0,2010,10,1037120
0,2010,11,1460808
0,2011,0,1834966
0,2011,1,1363441
0,2011,2,1512700
0,2011,3,1162160
0,2011,4,1036267
0,2011,5,530934
0,2011,6,643805
0,2011,7,1820218
0,2011,8,1559409
0,2011,9,2026478
0,2011,10,1068419
0,2011,11,2020704
0,2012,0,1928734
0,2012,1,1364851
0,2012,2,1162777
0,2012,3,1592053
0,2012,4,1362060
0,2012,5,1422120
0,2012,6,2079061
0,2012,7,1171836
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
