./pomplogs/wetering.txt.gz
Pomp,jaar,maand,seconden
0,2000,0,0
0,2000,1,0
0,2000,2,0
0,2000,3,0
0,2000,4,0
0,2000,5,0
0,2000,6,0
0,2000,7,0
0,2000,8,0
0,2000,9,0
0,2000,10,0
0,2000,11,0
0,2001,0,0
0,2001,1,0
0,2001,2,0
0,2001,3,0
0,2001,4,0
0,2001,5,0
0,2001,6,0
0,2001,7,0
0,2001,8,0
0,2001,9,0
0,2001,10,0
0,2001,11,0
0,2002,0,0
0,2002,1,0
0,2002,2,0
0,2002,3,0
0,2002,4,0
0,2002,5,0
0,2002,6,0
0,2002,7,0
0,2002,8,0
0,2002,9,0
0,2002,10,0
0,2002,11,0
0,2003,0,0
0,2003,1,0
0,2003,2,0
0,2003,3,0
0,2003,4,0
0,2003,5,0
0,2003,6,0
0,2003,7,0
0,2003,8,0
0,2003,9,0
0,2003,10,0
0,2003,11,0
0,2004,0,0
0,2004,1,0
0,2004,2,0
0,2004,3,0
0,2004,4,0
0,2004,5,0
0,2004,6,0
0,2004,7,0
0,2004,8,0
0,2004,9,0
0,2004,10,0
0,2004,11,0
0,2005,0,0
0,2005,1,0
0,2005,2,0
0,2005,3,0
0,2005,4,0
0,2005,5,0
0,2005,6,0
0,2005,7,0
0,2005,8,0
0,2005,9,0
0,2005,10,0
0,2005,11,0
0,2006,0,0
0,2006,1,0
0,2006,2,0
0,2006,3,0
0,2006,4,0
0,2006,5,0
0,2006,6,0
0,2006,7,0
0,2006,8,0
0,2006,9,0
0,2006,10,0
0,2006,11,0
0,2007,0,0
0,2007,1,0
0,2007,2,6
0,2007,3,0
0,2007,4,0
0,2007,5,0
0,2007,6,1305
0,2007,7,0
0,2007,8,0
0,2007,9,715
0,2007,10,1466
0,2007,11,1193
0,2008,0,5909
0,2008,1,646
0,2008,2,1733
0,2008,3,974
0,2008,4,767
0,2008,5,399
0,2008,6,255
0,2008,7,224
0,2008,8,1057
0,2008,9,715
0,2008,10,559
0,2008,11,713
0,2009,0,460
0,2009,1,640
0,2009,2,321
0,2009,3,120
0,2009,4,225
0,2009,5,261
0,2009,6,194
0,2009,7,90
0,2009,8,149
0,2009,9,494
0,2009,10,300
0,2009,11,843
0,2010,0,632
0,2010,1,672
0,2010,2,509
0,2010,3,82
0,2010,4,488
0,2010,5,4871
0,2010,6,417
0,2010,7,0
0,2010,8,0
0,2010,9,227
0,2010,10,747
0,2010,11,0
0,2011,0,292
0,2011,1,0
0,2011,2,150
0,2011,3,12
0,2011,4,0
0,2011,5,95
0,2011,6,146
0,2011,7,0
0,2011,8,0
0,2011,9,68
0,2011,10,45
0,2011,11,46
0,2012,0,64
0,2012,1,22
0,2012,2,88
0,2012,3,51
0,2012,4,0
0,2012,5,445
0,2012,6,63
0,2012,7,0
0,2012,8,0
0,2012,9,0
0,2012,10,0
0,2012,11,0
1,2000,0,0
1,2000,1,0
1,2000,2,0
1,2000,3,0
1,2000,4,0
1,2000,5,0
1,2000,6,18037
1,2000,7,0
1,2000,8,0
1,2000,9,0
1,2000,10,23923
1,2000,11,0
1,2001,0,740179
1,2001,1,235763
1,2001,2,429578
1,2001,3,526
1,2001,4,0
1,2001,5,0
1,2001,6,0
1,2001,7,39553
1,2001,8,591997
1,2001,9,1989185
1,2001,10,1108100
1,2001,11,619141
1,2002,0,0
1,2002,1,776356
1,2002,2,1970426
1,2002,3,1193761
1,2002,4,1442855
1,2002,5,1082945
1,2002,6,921892
1,2002,7,473131
1,2002,8,680825
1,2002,9,816483
1,2002,10,701839
1,2002,11,607172
1,2003,0,791617
1,2003,1,608294
1,2003,2,643630
1,2003,3,656874
1,2003,4,515917
1,2003,5,555395
1,2003,6,605704
1,2003,7,497606
1,2003,8,559506
1,2003,9,705637
1,2003,10,651867
1,2003,11,702794
1,2004,0,916034
1,2004,1,662253
1,2004,2,763845
1,2004,3,745001
1,2004,4,697699
1,2004,5,462660
1,2004,6,822523
1,2004,7,652225
1,2004,8,769294
1,2004,9,837816
1,2004,10,808889
1,2004,11,807769
1,2005,0,821632
1,2005,1,733546
1,2005,2,908548
1,2005,3,776872
1,2005,4,840678
1,2005,5,960210
1,2005,6,1274023
1,2005,7,205393
1,2005,8,751344
1,2005,9,1166904
1,2005,10,565629
1,2005,11,716336
1,2006,0,841068
1,2006,1,765120
1,2006,2,670098
1,2006,3,830833
1,2006,4,817241
1,2006,5,568662
1,2006,6,560952
1,2006,7,846044
1,2006,8,761332
1,2006,9,863485
1,2006,10,981957
1,2006,11,853660
1,2007,0,1062410
1,2007,1,724788
1,2007,2,709810
1,2007,3,677964
1,2007,4,691038
1,2007,5,957483
1,2007,6,867026
1,2007,7,867117
1,2007,8,585708
1,2007,9,807983
1,2007,10,909700
1,2007,11,749364
1,2008,0,913753
1,2008,1,698096
1,2008,2,843729
1,2008,3,688755
1,2008,4,672545
1,2008,5,594616
1,2008,6,735203
1,2008,7,776281
1,2008,8,668142
1,2008,9,927535
1,2008,10,888497
1,2008,11,777504
1,2009,0,793200
1,2009,1,723698
1,2009,2,623341
1,2009,3,606243
1,2009,4,763782
1,2009,5,523507
1,2009,6,670511
1,2009,7,466963
1,2009,8,558340
1,2009,9,664461
1,2009,10,836665
